ts, user_id ,action  ,patch
2025-12-24 9:46:56,Ua636ab14081b483636896549d2026398,saveUserState_,"{""date"":""2025-12-24""}"
2025-12-24 9:47:07,Ua636ab14081b483636896549d2026398,saveUserState_,"{""time_from"":""18:00""}"
2025-12-24 9:47:22,Ua636ab14081b483636896549d2026398,saveUserState_,"{""field_no"":""3""}"
2025-12-24 10:04:15,Ua636ab14081b483636896549d2026398,saveUserState_,"{""time_from"":""16:00""}"
2025-12-24 10:04:31,Ua636ab14081b483636896549d2026398,saveUserState_,"{""field_no"":""1""}"
2026-01-03 13:03:09,Ua636ab14081b483636896549d2026398,saveUserState_,"{""date"":""2026-01-03""}"
2026-01-03 13:03:18,Ua636ab14081b483636896549d2026398,saveUserState_,"{""time_from"":""17:00""}"
2026-01-13 9:32:39,Ua636ab14081b483636896549d2026398,saveUserState_,"{""date"":""2026-01-13""}"
2026-01-13 9:32:55,Ua636ab14081b483636896549d2026398,saveUserState_,"{""time_from"":""18:00""}"
2026-01-13 9:33:10,Ua636ab14081b483636896549d2026398,saveUserState_,"{""field_no"":""4""}"