Date,start_users,select_date_users,select_time_users,select_duration_users,select_field_users,result_users,1,,,,date_int
19/12/2025,1,0,0,2,0,0,33,,,,46010
20/12/2025,1,0,0,2,0,0,,,,,46011
21/12/2025,1,0,0,2,0,0,,,,,46012
22/12/2025,1,0,0,2,0,0,,,,,46013
23/12/2025,1,0,0,2,0,0,,,,,46014
24/12/2025,1,0,0,2,0,0,,,,,46015
26/12/2025,1,0,0,2,0,0,,,,,46017
27/12/2025,1,0,0,2,0,0,,,,,46018
28/12/2025,1,0,0,2,0,0,,,,,46019
29/12/2025,1,0,0,2,0,0,,,,,46020
30/12/2025,1,0,0,2,0,0,,,,,46021
3/1/2026,1,0,0,2,0,0,,,,,46025
4/1/2026,1,0,0,2,0,0,,,,,46026
6/1/2026,1,0,0,2,0,0,,,,,46028
7/1/2026,1,0,0,2,0,0,,,,,46029
8/1/2026,1,0,0,2,0,0,,,,,46030
9/1/2026,1,0,0,2,0,0,,,,,46031
10/1/2026,1,0,0,2,0,0,,,,,46032
11/1/2026,1,0,0,2,0,0,,,,,46033
12/1/2026,1,0,0,2,0,0,,,,,46034
13/1/2026,1,0,0,2,0,0,,,,,46035
14/1/2026,1,0,0,2,0,0,,,,,46036
15/1/2026,1,0,0,2,0,0,,,,,46037